"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","310","Should respond in less than 2 seconds (performance check)","firefox","Fri Mar 28 10:03:15 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","GET /api/productsList - All Products API","","",""
"","219","Should fail with invalid email","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","196","Should contain a known brand (e.g. Polo)","webkit","Fri Mar 28 10:03:17 AEST 2025","passed","Fri Mar 28 10:03:17 AEST 2025","GET /api/brandsList - All Brands API","","",""
"","205","Login with empty password field","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
"","206","Should create account with valid data","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:16 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","197","Should return expected keys in product object","webkit","Fri Mar 28 10:03:18 AEST 2025","passed","Fri Mar 28 10:03:18 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","224","Should return 200 and products when valid product is searched","webkit","Fri Mar 28 10:03:18 AEST 2025","passed","Fri Mar 28 10:03:18 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","197","Should fail with empty fields","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","261","Each product should have expected keys","firefox","Fri Mar 28 10:03:15 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","GET /api/productsList - All Products API","","",""
"","268","Should fail with unsupported title","webkit","Fri Mar 28 10:03:17 AEST 2025","failed","Fri Mar 28 10:03:17 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","279","Should fail with missing password","chromium","Fri Mar 28 10:03:13 AEST 2025","failed","Fri Mar 28 10:03:13 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","199","Should return 200 and a non-empty list of brands","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","GET /api/brandsList - All Brands API","","",""
"","209","Should create account with valid data","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","258","Login with valid credentials","firefox","Fri Mar 28 10:03:13 AEST 2025","passed","Fri Mar 28 10:03:13 AEST 2025","","","",""
"","194","Should return empty products for unknown keyword","webkit","Fri Mar 28 10:03:18 AEST 2025","passed","Fri Mar 28 10:03:18 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","193","Should return error when search_produuct is missing","webkit","Fri Mar 28 10:03:18 AEST 2025","passed","Fri Mar 28 10:03:18 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","241","Each product should have expected keys","chromium","Fri Mar 28 10:03:12 AEST 2025","passed","Fri Mar 28 10:03:12 AEST 2025","GET /api/productsList - All Products API","","",""
"","204","Login with empty email field","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:16 AEST 2025","","","",""
"","499","Should delete acount with /api/deleteAccount","firefox","Fri Mar 28 10:03:13 AEST 2025","passed","Fri Mar 28 10:03:13 AEST 2025","","","",""
"","906","Should fail when email is missing","chromium","Fri Mar 28 10:03:10 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
"","201","Should return 405 when using POST on /productsList (method not allowed)","webkit","Fri Mar 28 10:03:18 AEST 2025","passed","Fri Mar 28 10:03:18 AEST 2025","GET /api/productsList - All Products API","","",""
"","260","Should fail with invalid mobile number","firefox","Fri Mar 28 10:03:14 AEST 2025","failed","Fri Mar 28 10:03:15 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","206","Should fail with existing email","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","195","Login with invalid credentials","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:16 AEST 2025","","","",""
"","348","Should return 200 and a non-empty list of products","chromium","Fri Mar 28 10:03:12 AEST 2025","passed","Fri Mar 28 10:03:12 AEST 2025","GET /api/productsList - All Products API","","",""
"","242","Should contain specific product name (e.g. Blue Top)","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","GET /api/productsList - All Products API","","",""
"","202","Should return 405 when using POST on /productsList (method not allowed)","chromium","Fri Mar 28 10:03:13 AEST 2025","passed","Fri Mar 28 10:03:13 AEST 2025","GET /api/productsList - All Products API","","",""
"","206","Login with invalid credentials","firefox","Fri Mar 28 10:03:13 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","","","",""
